Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8783,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17276,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,89.9997658008
8786,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17279,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.0567896144
8789,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17282,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.1574364394
8798,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17291,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2281081299
8801,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17294,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1656130288
8804,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17297,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.7405507812
8807,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17300,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.1983323426
8816,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17309,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2106045916
8819,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17312,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.0819719962
8822,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17315,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.0251149434
8825,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17318,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0980079606
8834,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17327,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8837,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17330,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8839,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17314,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.1583450624
8840,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17333,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
